
B G R =  [56 50 84], merah
B G R =  [55 49 83], merah
B G R =  [55 50 83], merah
B G R =  [56 51 83], merah
B G R =  [59 52 83], merah
B G R =  [60 51 84], merah
B G R =  [61 52 86], merah
B G R =  [63 55 88], merah
B G R =  [64 57 90], merah
B G R =  [58 49 85], merah
B G R =  [58 51 86], merah
B G R =  [59 52 87], merah
B G R =  [57 50 85], merah
B G R =  [53 46 83], merah
B G R =  [51 44 81], merah
B G R =  [51 45 80], merah
B G R =  [56 51 85], merah
B G R =  [58 55 88], merah
B G R =  [55 55 86], merah
B G R =  [61 49 88], merah
B G R =  [61 28 18], biru
B G R =  [62 30 19], biru
B G R =  [59 32 22], biru
B G R =  [57 31 21], biru
B G R =  [57 31 21], biru
B G R =  [59 32 22], biru
B G R =  [61 33 22], biru
B G R =  [60 32 21], biru
B G R =  [59 31 20], biru
B G R =  [59 30 19], biru
B G R =  [58 28 17], biru
B G R =  [57 26 15], biru
B G R =  [56 28 17], biru
B G R =  [58 29 18], biru
B G R =  [59 30 19], biru
B G R =  [57 29 18], biru
B G R =  [55 29 17], biru
B G R =  [54 29 17], biru
B G R =  [55 29 17], biru
B G R =  [54 28 16], biru
B G R =  [ 77 158  96], hijau
B G R =  [ 76 157  97], hijau
B G R =  [ 76 155  96], hijau
B G R =  [ 74 150  92], hijau
B G R =  [ 69 144  85], hijau
B G R =  [ 68 140  84], hijau
B G R =  [ 68 139  86], hijau
B G R =  [ 67 135  84], hijau
B G R =  [ 65 134  80], hijau
B G R =  [ 63 132  75], hijau
B G R =  [ 78 154  89], hijau
B G R =  [ 72 148  83], hijau
B G R =  [ 68 142  78], hijau
B G R =  [ 65 138  73], hijau
B G R =  [ 66 139  74], hijau
B G R =  [ 69 139  76], hijau
B G R =  [ 71 139  78], hijau
B G R =  [ 71 137  79], hijau
B G R =  [ 70 137  78], hijau
B G R =  [ 69 138  78], hijau
B G R =  [ 76 148  89], hijau
